,Keywords,confidence,Date Start,Description of measure implemented,Implementing State/Province,Country,Source
125,limited nonessential business closure,,2020-03-22,"All non-essential services in New South Wales, Victoria, and the Australian Capital Territory will be shut down over the next two days excluding supermarkets, petrol stations, pharmacies, convenience stores, freight and logistics, and home delivery. ","NSW, Vic, ACT",Australia,"SBS News (Media, https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward"
127,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-22,"South Australia and Western Australia will effectively close their borders on March 24 at 4pm anyone entering the state would be subject to a mandatory 14-day isolation period. Essential services, including the supply of food would not be affected. Tasmania and the Northern Territory already have such restrictions in place.","SA, WA, Tas, NT",Australia,"SBS News (Media, https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward"
128,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-25,Anyone entering Queensland from the air or by road will be forced to isolate themselves for 14 days from Wednesday night 25 March ,Qld,Australia,"SBS News (Media, https://www.sbs.com.au/news/queensland-becomes-latest-state-to-close-borders-amid-covid-19-pandemic"
129,blanket curfew - no symptoms,,2020-03-16,"Citizens are suspend all non-essential activities outside their homes and stay in their homes for the duration for one week; ecemptions are essential work, for essential shopping or services, helping someone else, physical activity if alone or with co-living persons",,Austria,"Ministry of Social Affairs (Government, https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html"
131,international travel ban - risk countries,,2020-03-16,"entry ban for travelers from Great Britain, Netherlands, Ukraine, Russia unless they have a medical certificate confirming no coronavirus infection and will self-quarantine for 14 days",,Austria,"Ministry of Social Affairs (Government, https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html"
133,economic stimulus,,2020-03-14,announcement of economic measures including loans for private businesses,,Austria,"Government (Government, https://www.oesterreich.gv.at/themen/coronavirus_in_oesterreich/corona_krisenbew%C3%A4ltigungsfonds_fuer_unternehmen_und_arbeitsplaetze.html"
138,limited nonessential business closure,,2020-03-16,"Closure of all ski lifts and hotels in Tyrol, Salzburg, Carinthia and Upper Austria",,Austria,"Government (Government, https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html"
141,blanket curfew - no symptoms,,2020-03-19,All municipalities in Tyrol are under quarantine with no movements in between municipalities,Tyrol,Austria,"Government (Government, https://www.tirol.gv.at/fileadmin/buergerservice/Downloads/LGB_19032020.pdf"
142,economic stimulus,,2020-03-18,"Appeal to not purchase products online, but wait and support the local economy post-crises",Tyrol,Austria,"Government (Government, https://www.tirol.gv.at/meldungen/meldung/artikel/lrin-zoller-frischauf-spaeter-in-tirol-kaufen-statt-jetzt-von-der-couch-aus-weltweit-bestellen/"
144,international travel ban - risk countries,,2020-03-19,People without residency in Tyrol mandated to leave,Tyrol,Austria,"Government (Government, https://www.tirol.gv.at/fileadmin/buergerservice/Downloads/LGB_19032020.pdf"
148,international travel ban - risk countries,,2020-01-03,temporarily suspended the issuance of e-visas. ,,Azerbaijan,"US Embassy  (Government, https://az.usembassy.gov/covid-19-information-for-azerbaijan/"
149,international traveller screening - risk countries,,2020-01-03,,,Azerbaijan,"US Embassy  (Government, https://az.usembassy.gov/covid-19-information-for-azerbaijan/"
150,international travel ban - risk countries,,2020-02-29,Iran and Georgia,,Azerbaijan,"Caspian News (Media, https://caspiannews.com/news-detail/azerbaijan-who-team-up-to-fight-covid-19-2020-3-13-21/"
152,coronavirus education activities,,2020-09-03,"Assistance from WHO mission on COVID 19 preparedness measures. Azerbaijan is 1 of the 17 countries in the WHO European Region that is receiving laboratory testing kits. The first round of kits was distributed in February, and a second round is currently being shipped. The country will also be receiving personal protective equipment (PPE) for frontline health-care workers caring for patients with suspected and confirmed COVID-19, and laboratory staff who are testing swabs of suspected cases.",,Azerbaijan,"WHO Europe (UN, http://www.euro.who.int/en/countries/azerbaijan/news/news/2020/3/azerbaijan-steps-up-covid-19-preparedness-and-readiness-measures,-welcoming-who-mission"
153,international travel ban - risk countries,,2020-12-03,Cancelling routine nonimmigrant visa checks ,,Azerbaijan,"US Embassy (Government, https://az.usembassy.gov/announcement-for-all-visa-applicants/"
154,international travel ban - risk countries,,2020-03-18,"closed border between Russia and Azerbaijan to all traffic; allowances are made for citizens of Azerbaijan to cross the border to return home, and vice-versa",,Azerbaijan,"US Embassy (Government, https://az.usembassy.gov/covid-19-information-for-azerbaijan/"
155,international travel ban - risk countries,,2020-03-14,"closed border between Georgia and Azerbaijan to all traffic for 10 days; allowances are made for citizens of Azerbaijan to cross the border to return home, and vice-versa",,Azerbaijan,"US Embassy (Government, https://az.usembassy.gov/covid-19-information-for-azerbaijan/"
156,international travel ban - risk countries,,2020-02-29,"closed border between Iran and Azerbaijan to all traffic for 10 days; allowances are made for citizens of Azerbaijan to cross the border to return home, and vice-versa",,Azerbaijan,"US Embassy (Government, https://az.usembassy.gov/covid-19-information-for-azerbaijan/"
157,international travel ban - risk countries,,2020-03-14,"closed border between Turkey and Azerbaijan to all traffic for 10 days; allowances are made for citizens of Azerbaijan to cross the border to return home, and vice-versa",,Azerbaijan,"US Embassy (Government, https://az.usembassy.gov/covid-19-information-for-azerbaijan/"
158,coronavirus education activities,,2020-03-19,Azerbaijan government has launched an information portal aimed to raise public awareness on prevention of the spread of Coronavirus infection and prophylaxis of the disease in the Country (https://koronavirusinfo.az/). ,,Azerbaijan,"Azertag (Media, https://azertag.az/en/xeber/1444303"
159,economic stimulus,,2020-03-19,Azerbaijani President Ilham Aliyev has signed a Decree calling for the establishment of a Fund to Support Fight Against Coronavirus,,Azerbaijan,"Azertag (Media, https://azertag.az/en/xeber/1444875"
160,international travel ban - risk countries,,2020-07-03,"Foreign nationals who have been in Italy, South Korea, China, or Iran over the last 20 days are unable to enter ",,Bahamas,"IATA (Other organisations, https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm"
163,coronavirus education activities,,2020-01-03,,,Bahamas,"Office of the Prime Minister (Government, https://www.bahamas.gov.bs/wps/portal/public/news%20and%20press%20release/prime%20minister%20minnis%20govt%20planning%20for%20economic%20impact%20of%20covid-19/!ut/p/b1/vZLZjpswGEafpQ-QwWbnki3gsO-EG5SQCSGQOECAwNM3o45atVKnvWjHvrJ0Ph_r-01kREpk191Ylbt7ha-75u2csTmlOZYn07zFs7QAEAxtpKgupVHwCWyfAPjNEsG3PNAsUXzmNQawAEWuKbqcTjoGSSREqm_Zh9JbpaL6-SO6a5IKMaA54awFt1QXg5iPSs-5jg0ZzmM4HJZrl_SMs2Pb3XXBAT2u5yhoEDet4AWn3TYhj8mgFFY2h8CglQolUSuFG0H27nBziRwJaetg1b_iqsGL192qCdanIL5gZRuIy1jWthRX4kAPpp029GFQ5riYY_cUR8zMuTFAYV6SrCn3-6OxPfOtrs8jp4tLOcfL-DBvhcvzeY7gFaIv7_18UMBf9fs975DhGyBD1ogYwCv0n_IJkX04Ahq8Ax-N8Ocbfn0D-yeAJmwdX16J7RPjfotJgAiJFNB5cJ5vaKkX_7z4VhiunVDZbKAKgL2Yvh3VwLofbFulH-AcPeyzNdl1DXtFssND6h5iP5JEkcHrk_-xMDDZzxXyEvxsIfffhQZJPYUmZdq8DAON-mQh_-8_zYbIqv3lZSouL-CFFyhSYDjA0zxkIIBE3EUrbt9bk-JOsXnCYZs4y-GV14d1bSRtdhZbhANjjvMr1SDN0ZUbNXj-MrDyMe-zS1xN_SDYnOtaPdN2p6lhgr3Mpi3dG_JpzA4zSjAZVPtx4RB1XOpyOLOro3-gkQrrB0Uy_cYWZr0pii7SSOkVr_1WCXAz1ZkuTYNUOFuyL4tMUfcBlr0C3YUSehgEjUeL9SjtDLHzbcg4e5JfdbkAkmbIdjbbaBiGopMzffDYqvEtbzrvfnKv8ZECK4jzvDju7uYqzz0ZracVTdwu0WiYrK8elXT5scWvoKXPVg!!/dl4/d5/L2dBISEvZ0FBIS9nQSEh/"
164,risk communication,,2020-01-22,MoH published hygiene recommednations for preventing spread of infection ,,Bahamas,"Ministry of Health (Government, http://www.bahamas.gov.bs/wps/wcm/connect/6aaac324-1f3e-40d5-ace3-a914408a9a41/PRESS+RELEASE+-+Novel+Coronavirus+2019-nCoV+++22nd+Jan+2020+%281%29.pdf?MOD=AJPERES"
165,hospital specialisation - partial,,2020-01-28,"MoH engaged in Novel Coronavirus sensitization meetings with public and private stakeholders to discuss the virus and the MoH's preparedness, and to ensure that all agencies have a coordinated and effective response plan",,Bahamas,"Ministry of Health (Government, http://www.bahamas.gov.bs/wps/wcm/connect/ed400a4a-ce0e-4203-8c39-2496fbf5ccdf/PRESS+RELEASE+-+nCoV+2019+-+update+%233.pdf?MOD=AJPERES"
